distance,threshold
-10000,2.67818e+06
-9900,2.64987e+06
-9800,2.62171e+06
-9700,2.59369e+06
-9600,2.56582e+06
-9500,2.53811e+06
-9400,2.51054e+06
-9300,2.48312e+06
-9200,2.45585e+06
-9100,2.42872e+06
-9000,2.40175e+06
-8900,2.37493e+06
-8800,2.34825e+06
-8700,2.32172e+06
-8600,2.29534e+06
-8500,2.26911e+06
-8400,2.24303e+06
-8300,2.2171e+06
-8200,2.19131e+06
-8100,2.16568e+06
-8000,2.14019e+06
-7900,2.11486e+06
-7800,2.08967e+06
-7700,2.06463e+06
-7600,2.03973e+06
-7500,2.01499e+06
-7400,1.9904e+06
-7300,1.96595e+06
-7200,1.94165e+06
-7100,1.91751e+06
-7000,1.89351e+06
-6900,1.86966e+06
-6800,1.84595e+06
-6700,1.8224e+06
-6600,1.79899e+06
-6500,1.77574e+06
-6400,1.75263e+06
-6300,1.72967e+06
-6200,1.70685e+06
-6100,1.68419e+06
-6000,1.66168e+06
-5900,1.63931e+06
-5800,1.61709e+06
-5700,1.59502e+06
-5600,1.5731e+06
-5500,1.52577e+06
-5400,1.46267e+06
-5300,1.40122e+06
-5200,1.34141e+06
-5100,1.28322e+06
-5000,1.22663e+06
-4900,1.17161e+06
-4800,1.11815e+06
-4700,1.06623e+06
-4600,1.01583e+06
-4500,966928
-4400,919509
-4300,873553
-4200,829042
-4100,785957
-4000,744277
-3900,703983
-3800,665056
-3700,627476
-3600,591224
-3500,556279
-3400,522620
-3300,490229
-3200,459086
-3100,429170
-3000,400461
-2900,372940
-2800,346585
-2700,321377
-2600,297295
-2500,274318
-2400,252428
-2300,231605
-2200,211828
-2100,193076
-2000,175329
-1900,158565
-1800,142765
-1700,127907
-1600,113969
-1500,100932
-1400,88774.9
-1300,77476.2
-1200,67015
-1100,57369.8
-1000,48520.9
-900,40446.2
-800,33125
-700,26535.1
-600,20658.1
-500,15471.9
-400,10955
-300,7081.93
-200,3807.25
-100,465.214
